AMT transect,Latitude,Longitude,Start Day,Start Month,Start year,Start GMT,End Day,End Month,End year,End GMT,Sample depth,CHL (no fractionation) (mg/m^3),CHL (0.2-2 micron) (mg/m^3),CHL (>2 micron) (mg/m^3),CHL (2-5 micron) (mg/m^3),CHL (2-10 micron) (mg/m^3),CHL (2-20 micron) (mg/m^3),CHL (>5 micron) (mg/m^3),CHL (5-10 micron) (mg/m^3),CHL (>10 micron) (mg/m^3),CHL (>20 micron) (mg/m^3),CHL (sum of fractions) (mg/m^3),HPLC Depth,[TChla],[dvChla],[TChlb],[TChlc],[Caro],[Allo],[But],[Diad],[Diato],[Fuco],[Hex],[Peri],[Zea],[Lut],[Viol],[Pras],comments
2,-47.58861,-55.59704,23,4,1996,14.2,23,4,1996,14.42,7.7,-999,0.1,-999,-999,-999,0.14,-999,-999,-999,0.13,0.37,7,0.639,-999,0.095,0.268,0.01,0.006,0.03,0.005,0.004,0.142,0.142,0.03,0.006,-999,-999,-999,-999
2,-47.58861,-55.59704,23,4,1996,14.2,23,4,1996,14.42,20.9,-999,0.02,-999,-999,-999,0.18,-999,-999,-999,0.19,0.38,20,0.611,-999,0.097,0.249,0.04,0.005,0.022,0.005,0.003,0.128,0.122,0.016,0.005,-999,-999,-999,-999
2,-47.58861,-55.59704,23,4,1996,14.2,23,4,1996,14.42,40,-999,0.24,-999,-999,-999,0.26,-999,-999,-999,0.28,0.77,40,0.591,-999,0.077,0.212,0.016,0.003,0.025,0.043,0.007,0.13,0.12,0.023,0.007,-999,-999,-999,-999
2,-47.58861,-55.59704,23,4,1996,14.2,23,4,1996,14.42,60.1,-999,0.17,-999,-999,-999,0.19,-999,-999,-999,0.15,0.52,60,0.239,-999,0.037,0.05,0,0,0.061,0.013,0,0.044,0.004,0.018,0,-999,-999,-999,-999
2,-47.58861,-55.59704,23,4,1996,14.2,23,4,1996,14.42,88.5,-999,0.04,-999,-999,-999,0.03,-999,-999,-999,0.01,0.08,90,0.062,-999,0.008,0.014,0.008,0,0.006,0,0,0.018,0.013,0,0,-999,-999,-999,-999
2,-43.42935,-54.73117,24,4,1996,13.56,24,4,1996,14.26,6.2,-999,0.68,-999,-999,-999,0.13,-999,-999,-999,0.11,0.92,7,0.521,-999,0.074,0.149,0.014,0.012,0.026,0.016,0,0.127,0.007,0.028,0.057,-999,-999,-999,-999
2,-43.42935,-54.73117,24,4,1996,13.56,24,4,1996,14.26,19.3,-999,0.47,-999,-999,-999,0.13,-999,-999,-999,0.04,0.64,20,0.628,-999,0.087,0.222,0,0.005,0.035,0.025,0.032,0.035,0.189,0.009,0.07,-999,-999,-999,-999
2,-43.42935,-54.73117,24,4,1996,13.56,24,4,1996,14.26,29.3,-999,0.3,-999,-999,-999,0.1,-999,-999,-999,0.01,0.41,30,0.571,-999,0.085,0.093,0,0.004,0.029,0.021,0.029,0.032,0.167,0.008,0.06,-999,-999,-999,-999
2,-43.42935,-54.73117,24,4,1996,13.56,24,4,1996,14.26,39.9,-999,0.19,-999,-999,-999,0.1,-999,-999,-999,0,0.29,40,0.3,-999,0.066,0.076,0.011,0.01,0.015,0.009,0,0.031,0.064,0.004,0.018,-999,-999,-999,-999
2,-43.42935,-54.73117,24,4,1996,13.56,24,4,1996,14.26,49.8,-999,0.15,-999,-999,-999,0.07,-999,-999,-999,0,0.22,50,0.181,-999,0.037,0.044,0.006,0.003,0.009,0.007,0,0.022,0.046,0,0,-999,-999,-999,-999
2,-39.35141,-53.30116,25,4,1996,14.08,25,4,1996,14.29,5.8,-999,0.18,-999,-999,-999,0.05,-999,-999,-999,0.04,0.28,7,0.471,-999,0.105,0.106,0.004,0.005,0.035,0.018,0,0.037,0.057,0,0.052,-999,-999,-999,-999
2,-39.35141,-53.30116,25,4,1996,14.08,25,4,1996,14.29,28.6,-999,0.21,-999,-999,-999,0.04,-999,-999,-999,0.03,0.28,30,0.435,-999,0.086,0.087,0.004,0.005,0.032,0.014,0,0.034,0.062,0,0.046,-999,-999,-999,-999
2,-39.35141,-53.30116,25,4,1996,14.08,25,4,1996,14.29,48.5,-999,0.29,-999,-999,-999,0.06,-999,-999,-999,0.06,0.41,50,0.458,-999,0.084,0.102,0.008,0.004,0.033,0.018,0,0.037,0.056,0,0.05,-999,-999,-999,-999
2,-39.35141,-53.30116,25,4,1996,14.08,25,4,1996,14.29,68.3,-999,0.26,-999,-999,-999,0.08,-999,-999,-999,0.06,0.4,70,0.481,-999,0.079,0.052,0.015,0.005,0.032,0.014,0,0.057,0.003,0.048,0.043,-999,-999,-999,-999
2,-39.35141,-53.30116,25,4,1996,14.08,25,4,1996,14.29,98.1,-999,0.31,-999,-999,-999,0.09,-999,-999,-999,0.06,0.46,100,0.398,-999,0.069,0.052,0.04,0.005,0.032,0.014,0,0.031,0.051,0,0.041,-999,-999,-999,-999
2,-33.38653,-46.62224,30,4,1996,13.17,30,4,1996,13.44,9,-999,0.17,-999,-999,-999,0.03,-999,-999,-999,0.01,0.21,7,0.195,-999,0.02,0.031,0.003,0,0.011,0.01,0,0.012,0.023,0,0.07,-999,-999,-999,-999
2,-33.38653,-46.62224,30,4,1996,13.17,30,4,1996,13.44,31.8,-999,0.19,-999,-999,-999,0.06,-999,-999,-999,0,0.25,30,0.306,-999,0.027,0.052,0,0,0.014,0.009,0,0.013,0.039,0,0.066,-999,-999,-999,-999
2,-33.38653,-46.62224,30,4,1996,13.17,30,4,1996,13.44,51.3,-999,0.3,-999,-999,-999,0.1,-999,-999,-999,0.02,0.42,50,0.361,-999,0.04,0.06,0.006,0,0.026,0.01,0,0.017,0.065,0,0.057,-999,-999,-999,-999
2,-33.38653,-46.62224,30,4,1996,13.17,30,4,1996,13.44,71.3,-999,0.13,-999,-999,-999,0.04,-999,-999,-999,0.03,0.2,70,0.249,-999,0.019,0.03,0.009,0,0.026,0.004,0.011,0.017,0.027,0,0,-999,-999,-999,-999
2,-33.38653,-46.62224,30,4,1996,13.17,30,4,1996,13.44,89.2,-999,0.14,-999,-999,-999,0.01,-999,-999,-999,0.01,0.17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,-30.30312,-43.42227,1,5,1996,13.11,1,5,1996,13.37,5.5,-999,0.09,-999,-999,-999,0.03,-999,-999,-999,0.02,0.15,7,0.138,-999,0,0.006,0.006,0,0.004,0.006,0,0.004,0.009,0,0.074,-999,-999,-999,-999
2,-30.30312,-43.42227,1,5,1996,13.11,1,5,1996,13.37,40.4,-999,0.11,-999,-999,-999,0.05,-999,-999,-999,0.01,0.17,40,0.143,-999,0,0.008,0.023,0,0,0.005,0,0.006,0.008,0,0.077,-999,-999,-999,-999
2,-30.30312,-43.42227,1,5,1996,13.11,1,5,1996,13.37,60.6,-999,0.1,-999,-999,-999,0.05,-999,-999,-999,0.01,0.17,60,0.144,-999,0,0.019,0,0,0.004,0.005,0,0.005,0.01,0,0.08,-999,-999,-999,-999
2,-30.30312,-43.42227,1,5,1996,13.11,1,5,1996,13.37,90.8,-999,0.25,-999,-999,-999,0.04,-999,-999,-999,0.02,0.31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,-30.30312,-43.42227,1,5,1996,13.11,1,5,1996,13.37,111.1,-999,0.23,-999,-999,-999,0.05,-999,-999,-999,0.04,0.31,110,0.305,-999,0.124,0.065,0.007,0,0.037,0.005,0,0.012,0.049,0,0.034,-999,-999,-999,-999
2,-30.30312,-43.42227,1,5,1996,13.11,1,5,1996,13.37,120.9,-999,0.2,-999,-999,-999,0.04,-999,-999,-999,0.01,0.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,-27.61854,-40.71247,2,5,1996,13.06,2,5,1996,13.3,9.4,-999,0.2,-999,-999,-999,0.05,-999,-999,-999,0.03,0.28,7,0.279,-999,0.02,0.033,0.011,0,0.009,0.005,0,0.007,0.027,0,0.085,-999,-999,-999,-999
2,-27.61854,-40.71247,2,5,1996,13.06,2,5,1996,13.3,31.8,-999,0.17,-999,-999,-999,0.05,-999,-999,-999,0.3,0.52,30,0.296,-999,0.025,0.029,0.009,0,0.008,0,0.069,0.006,0.022,0,0,-999,-999,-999,-999
