EVENT_NO,DATE (YYYY-MM-DD),TOTAL_CHLA (mg m-3),TOTAL_PHAEO (mg m-3),MEAN_CHLA_MP,MEAN_PHAEO_MP,MEAN_CHLA_NP,MEAN_PHAEO_NP,MEAN_CHLA_UP,MEAN_PHAEO_UP,MEAN_CHLA_PP,MEAN_PHAEO_PP,COMMENTS,QC-XUERONG
1,12/02/1997,1.9149,,1.7117,0.46159,0.0832,0.07633,0.0713,0.06181,0.0487,,"Dissolving filters, pico phaeopigment value negative",0
3,18/02/1997,2.8579,0.64416,2.546,0.58086,0.1336,0.04693,0.0981,0.01544,0.0802,0.00093,Dissolving filters,0
5,25/02/1997,1.7361,0.90691,1.3867,0.74981,0.1786,0.08718,0.1075,0.04491,0.0633,0.02501,Dissolving filters,0
7,03/03/1997,,,2.4082,1.6083,1.5591,1.0733,1.2608,0.5809,,,"Filters badly dissolved, pico values missing",0
8,05/03/1997,0.6067,0.29764,0.17603,0.10112,0.12616,0.07131,0.25286,0.11584,0.05165,0.00937,,1
9,12/03/1997,1.535409,0.98328,0.897799,0.59346,0.33137,0.191,0.26218,0.16984,0.04406,0.02898,Filters badly dissolved,0
10,28/03/1997,0.4011,0.4418,0.24899,0.2398,0.05811,0.0797,0.0692,0.07246,0.0248,0.04984,Filters badly dissolved,0
11,05/04/1997,0.35319,0.34016,0.16709,0.14684,0.09052,0.11537,0.06626,0.04842,0.02932,0.02953,Filters badly dissolved,0
12,11/04/1997,0.90478,0.45371,0.45916,0.23522,0.25431,0.15366,0.15072,0.04672,0.04059,0.01811,Filters badly dissolved,0
13,19/04/1997,0.60026,0.59946,0.2181,0.20445,0.23209,0.24877,0.11613,0.08867,0.03394,0.05757,New filters,1
14,25/04/1997,0.50184,0.39493,0.09465,0.1175,0.18201,0.14574,0.1881,0.08602,0.03708,0.04567,,1
15,03/05/1997,0.36054,0.33261,0.03777,0.06845,0.12379,0.10865,0.16211,0.09484,0.03687,0.06067,,1
16,07/05/1997,0.3109,0.347,0.03656,0.05935,0.12027,0.12155,0.12339,0.09834,0.03068,0.06776,,1
17,13/05/1997,0.244697,0.267219,0.039453,0.051908,0.075044,0.081437,0.099318,0.069287,0.030882,0.064587,,1
18,24/05/1997,0.203948,0.248868,0.02901,0.043642,0.063085,0.100581,0.085308,0.072965,0.026545,0.03168,,1
